idProduto,numeroRegistro,nomeProduto,expediente,razaoSocial,cnpj,numeroTransacao,data,numProcesso,idBulaPacienteProtegido,idBulaProfissionalProtegido,dataAtualizacao,numero_registro
143.0,105730127,BRONDILAT,1346235211,ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A,60659463002992,2923822021,2021-04-08T14:58:56.000-0300,2500002566884,eyJhbGciOiJIUzUxMiJ9.eyJqdGkiOiIxNDAyMDc2NyIsIm5iZiI6MTcwNjI3ODg3MCwiZXhwIjoxNzA2Mjc5MTcwfQ.6psqwBRPlX6UconY8GZx_hUFhthwyQxFjis1eWuZcKoNZ2b0Jqbdao6pcY9_pZml3IDdy1x1fjSy12ll_EVFSA,eyJhbGciOiJIUzUxMiJ9.eyJqdGkiOiIxNDAyMDc3OCIsIm5iZiI6MTcwNjI3ODg3MCwiZXhwIjoxNzA2Mjc5MTcwfQ.NWCAMU_I30GnRV32oeBZXuI5rvhekwbroYNqoiJ6mhXQLbhZO3XvGCw9tPCMPXTH6WqXfz75PftC3PeDPwGZ8A,2024-01-26T08:00:05.000-0300,105730127
624126.0,100470474,alendronato de sódio,5056891223,SANDOZ DO BRASIL INDÚSTRIA FARMACÊUTICA LTDA,61286647000116,11759812022,2022-12-15T17:32:49.000-0300,25351758746200861,eyJhbGciOiJIUzUxMiJ9.eyJqdGkiOiIxODM5NzE2NiIsIm5iZiI6MTcwNjI3ODg3MCwiZXhwIjoxNzA2Mjc5MTcwfQ.9cvBqhPm6IGOfAT6OvbwzZVMZJHtf8sEJx7-j3x_PDkkljdgpyDsI2YBcANs-yEOibl1-cERUTy_6IhXvFddKw,eyJhbGciOiJIUzUxMiJ9.eyJqdGkiOiIxODM5NzE2NyIsIm5iZiI6MTcwNjI3ODg3MCwiZXhwIjoxNzA2Mjc5MTcwfQ.0yUlh50XGbBzfmywESIgfH9s-lvGKf_MO3OFYrXrsQe4hQf5rm5dP6ct1ga6PRFvE-PhEz88_7_BYeFQ4eoZ_g,2024-01-26T08:00:05.000-0300,100470474
1330248.0,183260357,MUCOSOLVAN,3353490200,SANOFI MEDLEY FARMACÊUTICA LTDA.,10588595001092,7828602020,2020-09-30T16:36:03.000-0300,25351190493201920,eyJhbGciOiJIUzUxMiJ9.eyJqdGkiOiIxMjk4NzkzMSIsIm5iZiI6MTcwNjI3ODg3MCwiZXhwIjoxNzA2Mjc5MTcwfQ.u8f0VpL8tD8APbGkn8nc6GIspoY_kfytaCwiz6MwEc9nzKRI-xcZkXvtO3EHrZtz5aNtvXBDlmdkrH7a6t51sA,eyJhbGciOiJIUzUxMiJ9.eyJqdGkiOiIxMjk4ODA0NiIsIm5iZiI6MTcwNjI3ODg3MCwiZXhwIjoxNzA2Mjc5MTcwfQ.IMjH9OhGc8BPFrBohSejT4_qsCv6Kx9ZogwQUXk2QSAsDXDjtEB_yRWBS7EQeEC0xBvtiphz_I2HLqNO5yoxGg,2024-01-26T08:00:05.000-0300,183260357
727332.0,105730425,ARISTAB,0073031241,ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A,60659463002992,628772024,2024-01-19T12:08:27.000-0300,25351707559201065,eyJhbGciOiJIUzUxMiJ9.eyJqdGkiOiIyMjMwMzAxNSIsIm5iZiI6MTcwNjI3ODg2NCwiZXhwIjoxNzA2Mjc5MTY0fQ.BBOfe3w1n12sPQsQ192yvjCKArzWxzAdCbGcH63om95lKiQHyvKsy2ffU9-dohlGfRLGhNiLvrxN07bl_24rzw,eyJhbGciOiJIUzUxMiJ9.eyJqdGkiOiIyMjMwMzAxNiIsIm5iZiI6MTcwNjI3ODg2NCwiZXhwIjoxNzA2Mjc5MTY0fQ.rtI67SCzyX0EkHxiDEmtMGl5sZETd4O321nRk_g8LxdXq85XUHAmBqitABMpvNGavNdOfglhkd53J_62THVY7w,2024-01-26T08:00:05.000-0300,105730425
1154942.0,121100359,ZITROMAX,0292551231,PFIZER BRASIL LTDA,61072393000133,2657272023,2023-03-23T10:42:47.000-0300,25351099763201724,eyJhbGciOiJIUzUxMiJ9.eyJqdGkiOiIxOTI2NTg0NCIsIm5iZiI6MTcwNjI3ODg3MiwiZXhwIjoxNzA2Mjc5MTcyfQ.wRgtQ5-MCk0QkGdZP055YTiYxg9X6o0o5XXNJoO6QheMTvaZ46D-JZ4-461C-H8p4CwPhn50tt_8LIkEA_a5Qw,eyJhbGciOiJIUzUxMiJ9.eyJqdGkiOiIxOTI2NTg0NSIsIm5iZiI6MTcwNjI3ODg3MiwiZXhwIjoxNzA2Mjc5MTcyfQ.Ec7YWBp59dMChDBww4Pc6sHeSihP5sYZ2B_P1o5sCJQLvvme88PE9HSVTy8BzxGv21nlwMqP9_nplgM0q0ADAA,2024-01-26T08:00:05.000-0300,121100359
124988.0,103670004,ATROVENT,1414490232,BOEHRINGER INGELHEIM DO BRASIL QUÍMICA E FARMACÊUTICA LTDA.,60831658000177,12100152023,2023-12-12T17:10:32.000-0300,2599100347279,eyJhbGciOiJIUzUxMiJ9.eyJqdGkiOiIyMTg4NDczMyIsIm5iZiI6MTcwNjI3ODg0OSwiZXhwIjoxNzA2Mjc5MTQ5fQ.I8qbOhT76wy-jS3Ini_y-5ZzF7_8dDXl6Ds18cRb4GsoZzaeLi3N3XGlCId7ISG6WqyQp1RL5QjqOaBVmfWh8Q,eyJhbGciOiJIUzUxMiJ9.eyJqdGkiOiIyMTg4NDczNCIsIm5iZiI6MTcwNjI3ODg0OSwiZXhwIjoxNzA2Mjc5MTQ5fQ.Q-nC2BBoEXI9OxJ_HZRZVvQGSeXicrgggb0DLk-Tn7NfR43DW5nOkkMcS9_QX0OMtwl4nilYnqlTlHCIGqgOOA,2024-01-26T08:00:05.000-0300,103670004
70044.0,141070025,CAPTOSEN,4723114220,PHARLAB INDÚSTRIA FARMACÊUTICA S.A.,02501297000102,8892802022,2022-09-21T17:01:33.000-0300,250000236649972,eyJhbGciOiJIUzUxMiJ9.eyJqdGkiOiIxNzY0MDgxNCIsIm5iZiI6MTcwNjI3ODg0NywiZXhwIjoxNzA2Mjc5MTQ3fQ.UT3bxr_JGhKlgXBtecgxLq41WkmjJDGK3mFCtVhhO4ybFdSqKBF2SaxCMwVkvfyzLiBsm4zKnOTXo619eUiPhQ,eyJhbGciOiJIUzUxMiJ9.eyJqdGkiOiIxNzY0MDgxNSIsIm5iZiI6MTcwNjI3ODg0NywiZXhwIjoxNzA2Mjc5MTQ3fQ.KwU5TbLJaVVgGmb9oF_Mj6tJNufLqYIds2hLUphFctz2a046pqtyezrIfQaCLMhkue38IlboEDavI_2Mc66Acg,2024-01-26T08:00:05.000-0300,141070025
70044.0,141070025,CAPTOSEN,4723114220,PHARLAB INDÚSTRIA FARMACÊUTICA S.A.,02501297000102,8892802022,2022-09-21T17:01:33.000-0300,250000236649972,eyJhbGciOiJIUzUxMiJ9.eyJqdGkiOiIxNzY0MDgxNCIsIm5iZiI6MTcwNjI3ODg2NywiZXhwIjoxNzA2Mjc5MTY3fQ.V0gxiQXsntN-JNKztZ8C-96Fjqv4JB3zifyGxO-v8m3kW1uQGmccX9GijtFY6Lq8_uKzbFFEJKr0Htje9yfuTw,eyJhbGciOiJIUzUxMiJ9.eyJqdGkiOiIxNzY0MDgxNSIsIm5iZiI6MTcwNjI3ODg2NywiZXhwIjoxNzA2Mjc5MTY3fQ.LbhdtJqL_UjoM5MjQuaGxcg8d3l8H3Rq_-xDmI4ioqNfYUHt9Ohk0S7J8QoJmUa8uA6CmpwTc6l5T15e11jsCw,2024-01-26T08:00:05.000-0300,141070025
2528711.0,188300086,CELEBRA,1450292232,MYLAN LABORATORIOS LTDA,11643096000122,12430982023,2023-12-20T11:18:22.000-0300,25351574161202119,eyJhbGciOiJIUzUxMiJ9.eyJqdGkiOiIyMTk5MDMxNiIsIm5iZiI6MTcwNjI3ODg3NSwiZXhwIjoxNzA2Mjc5MTc1fQ.A7fsV0IMkyjeDlRZc9wF6kpdJGK6YHfTuAmasgd7mxR-qOJE5TOMzptYwfFtCb1GXMIRYaRGbFO1ctmk6JE3Fg,eyJhbGciOiJIUzUxMiJ9.eyJqdGkiOiIyMTk5MDMxNyIsIm5iZiI6MTcwNjI3ODg3NSwiZXhwIjoxNzA2Mjc5MTc1fQ.K5j1hdKjti1UiOBrZ6xx6j6MK2OqZPCFre3qTVr_Tj7nHFbwLnZQzthoOlq8lwcTq-Bd23kWDTyhFqg_y8zlqw,2024-01-26T08:00:05.000-0300,188300086
1807.0,105730066,CANDICORT,0486418235,ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A,60659463002992,4549332023,2023-05-15T08:36:59.000-0300,2599100369880,eyJhbGciOiJIUzUxMiJ9.eyJqdGkiOiIxOTc3MjIwOCIsIm5iZiI6MTcwNjI3ODg0OSwiZXhwIjoxNzA2Mjc5MTQ5fQ.VUwkD8SuRyC80V2XOdxVe1SgkFPj7nYO3ZDI5MLZPrCSfl_rNcZl-VgxkiRmNXY-TjhAMxJkYR_ns3hsOfyXpA,eyJhbGciOiJIUzUxMiJ9.eyJqdGkiOiIxOTc3MjIwOSIsIm5iZiI6MTcwNjI3ODg0OSwiZXhwIjoxNzA2Mjc5MTQ5fQ.Su05GyQqjH1W-ubkpaO-x__N5WDPEnhKY9I44MLe-CeH72-JiJ0HeLmyFVHM1EToBUwcWgpPpqPfGfk1akleyQ,2024-01-26T08:00:05.000-0300,105730066
