idProduto,numeroRegistro,nomeProduto,expediente,razaoSocial,cnpj,numeroTransacao,data,numProcesso,idBulaPacienteProtegido,idBulaProfissionalProtegido,dataAtualizacao,numero_registro
624126.0,100470474,alendronato de sódio,5056891223,SANDOZ DO BRASIL INDÚSTRIA FARMACÊUTICA LTDA,61286647000116,11759812022,2022-12-15T17:32:49.000-0300,25351758746200861,eyJhbGciOiJIUzUxMiJ9.eyJqdGkiOiIxODM5NzE2NiIsIm5iZiI6MTcwNDU5MTIxMywiZXhwIjoxNzA0NTkxNTEzfQ.k8KQuAPVen0-rCuMJOhColbFrf7A9tY-HWY_7teQXFmV-xvoEuK1JPyNk0GUPY6hJVoOJbSYqU64oB-EXCeEsw,eyJhbGciOiJIUzUxMiJ9.eyJqdGkiOiIxODM5NzE2NyIsIm5iZiI6MTcwNDU5MTIxMywiZXhwIjoxNzA0NTkxNTEzfQ.LghScT6JxoEpIpJUn3GhDl2Kk2xJe45XCZJRPEaBmvpIKpW5NGFwNU6QOHAUEBq7B-G9wLUHAqbo0NHUE_Ssfg,2024-01-06T18:00:08.000-0300,100470474
727332.0,105730425,ARISTAB,0800815238,ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A,60659463002992,7412192023,2023-08-01T12:19:26.000-0300,25351707559201065,eyJhbGciOiJIUzUxMiJ9.eyJqdGkiOiIyMDU3MTU1NyIsIm5iZiI6MTcwNDU5MTIwMCwiZXhwIjoxNzA0NTkxNTAwfQ.ogsATPBCP5dwiFD5X908zcWFfR0wbC3FTa9UVtuLdqFUKjOuC_Y124ieAtENPR-0Reu6xvmLKscgSEN-FhrpYg,eyJhbGciOiJIUzUxMiJ9.eyJqdGkiOiIyMDU3MTU1OCIsIm5iZiI6MTcwNDU5MTIwMCwiZXhwIjoxNzA0NTkxNTAwfQ.sS47fvMFZyTQ9rQyMlqKNTpDWhgx6y-6zaiYh4ZWHp0Xi9jvjakjeJWAjVgnYdegw2636SqPdRLbraeQ-X8MgA,2024-01-06T18:00:08.000-0300,105730425
1154942.0,121100359,ZITROMAX,0292551231,PFIZER BRASIL LTDA,61072393000133,2657272023,2023-03-23T10:42:47.000-0300,25351099763201724,eyJhbGciOiJIUzUxMiJ9.eyJqdGkiOiIxOTI2NTg0NCIsIm5iZiI6MTcwNDU5MTE4NiwiZXhwIjoxNzA0NTkxNDg2fQ.jIKyGEtdbqTRnMrDeMOjeQ_LnKQX_rJ2Cs9y8tVigdCsnyj43RyDUxC25LHygRP0X_9wbhW1Bs1KOgF_VSfxCw,eyJhbGciOiJIUzUxMiJ9.eyJqdGkiOiIxOTI2NTg0NSIsIm5iZiI6MTcwNDU5MTE4NiwiZXhwIjoxNzA0NTkxNDg2fQ.yCfgQ0ngSmXm_zbKCiEWPGxNbAfgnxU1rNxD1u6EwOc3F08QmgPk1XIhEFObbtboKBQWADEd8akc2HrVsewQEg,2024-01-06T18:00:08.000-0300,121100359
124988.0,103670004,ATROVENT,1414490232,BOEHRINGER INGELHEIM DO BRASIL QUÍMICA E FARMACÊUTICA LTDA.,60831658000177,12100152023,2023-12-12T17:10:32.000-0300,2599100347279,eyJhbGciOiJIUzUxMiJ9.eyJqdGkiOiIyMTg4NDczMyIsIm5iZiI6MTcwNDU5MTE5NywiZXhwIjoxNzA0NTkxNDk3fQ.OW2rs2JpKFr_j-OSEpdjlk4J_2hNiWsxGiA0rCjjwpnLTxjCP_A2cmxxFF2Gx-enBN_REkd-U3oHQLrKCHfKiA,eyJhbGciOiJIUzUxMiJ9.eyJqdGkiOiIyMTg4NDczNCIsIm5iZiI6MTcwNDU5MTE5NywiZXhwIjoxNzA0NTkxNDk3fQ.vZ_hJjzwZ6GysE4I0r2Sbtp8ijO5NDDqe8i1eYQtIldw8dE5-yca2z2qbYAGR2eAVl0E1ow6tVxko17PvxqlMg,2024-01-06T18:00:08.000-0300,103670004
2528711.0,188300086,CELEBRA,1450292232,MYLAN LABORATORIOS LTDA,11643096000122,12430982023,2023-12-20T11:18:22.000-0300,25351574161202119,eyJhbGciOiJIUzUxMiJ9.eyJqdGkiOiIyMTk5MDMxNiIsIm5iZiI6MTcwNDU5MTIzMSwiZXhwIjoxNzA0NTkxNTMxfQ.P4Ecm-E9bB0Ne5zM_t8q279AD8nBLo53lr-WkSFe91_bcj5UBLLdfwPgY6V_KO8T-GIdCI8w4TUQZv3A3oqjfw,eyJhbGciOiJIUzUxMiJ9.eyJqdGkiOiIyMTk5MDMxNyIsIm5iZiI6MTcwNDU5MTIzMSwiZXhwIjoxNzA0NTkxNTMxfQ.UyA5tS5WoezXEQ4OO4N_YGtpkKBvzMx7KjprnK6mZulGehCeiUeb3tA4vojZHDgTNM09jF88BGzGpVSt3kiqAQ,2024-01-06T18:00:08.000-0300,188300086
1385379.0,183260419,OROXADIN,4354759201,SANOFI MEDLEY FARMACÊUTICA LTDA.,10588595001092,9889512020,2020-12-09T10:59:34.000-0300,25351627496201922,eyJhbGciOiJIUzUxMiJ9.eyJqdGkiOiIxMzM2NDUzMCIsIm5iZiI6MTcwNDU5MTI5NSwiZXhwIjoxNzA0NTkxNTk1fQ.qPcM5Nf_oKJO1-gCoaNtmUZswvId-wLXVqWRdNkYu4nNQDPZWxqzKVbip__rQKIkkskcHI6HTPMzFapWJG1Hew,eyJhbGciOiJIUzUxMiJ9.eyJqdGkiOiIxMzM2NDUzMyIsIm5iZiI6MTcwNDU5MTI5NSwiZXhwIjoxNzA0NTkxNTk1fQ.X-d2YZssF94ugmdpdLGmjJ9KpZDUuDwcvVi6bWn-18Dn4uqGAJyO85SR9aCYlG8zo6RAUCh-SHMe3tgOZRy_Cw,2024-01-06T18:00:08.000-0300,183260419
2405.0,101180129,MIOSAN,0559079231,APSEN FARMACEUTICA S/A,62462015000129,5262152023,2023-06-01T09:27:28.000-0300,250000092779653,eyJhbGciOiJIUzUxMiJ9.eyJqdGkiOiIxOTk2NzYwMCIsIm5iZiI6MTcwNDU5MTMxNiwiZXhwIjoxNzA0NTkxNjE2fQ.UsiDuDaPxPfuPQn-4ou9jXfER6HomnKtzLJsxIh3o9nKe0a-UYOOJekDu4yZOt0BqD3M_hyF-EwV75PfMNoyKg,eyJhbGciOiJIUzUxMiJ9.eyJqdGkiOiIxOTk2NzYwMSIsIm5iZiI6MTcwNDU5MTMxNiwiZXhwIjoxNzA0NTkxNjE2fQ.Dq70gmWuOtWeoAxKfuYoelhrXkFz6oZfrI8dKTiBttgwiQ7CHSt9nWXU7oEeY4gCvjTrMr9Kp592tLBSONiMyA,2024-01-06T18:00:08.000-0300,101180129
606720.0,105830642,cloridrato de hidroxizina,1362806212,GERMED FARMACEUTICA LTDA,45992062000165,2977012021,2021-04-09T17:08:38.000-0300,25351754920200883,eyJhbGciOiJIUzUxMiJ9.eyJqdGkiOiIxNDAzMDY1OSIsIm5iZiI6MTcwNDU5MTM0MywiZXhwIjoxNzA0NTkxNjQzfQ.DpamICJNubtcQea4JzhMq8uzL8-ClckylKtCuRFM6LkEi5BcQn0ijYWGv-hCPKeVOvT5q7WQq-FnWvSrMLizCQ,eyJhbGciOiJIUzUxMiJ9.eyJqdGkiOiIxNDAzMDY2MCIsIm5iZiI6MTcwNDU5MTM0MywiZXhwIjoxNzA0NTkxNjQzfQ.d0JY5DQFQeSWoKUZ0WxSKhlfwVQbOxrN3IRxWp9WijwYkQf1km3FgZkLbSUJqvGwYDIFsQzruScDbiVm117EjA,2024-01-06T18:00:08.000-0300,105830642
137644.0,112363356,ULTRACET,0783324235,JANSSEN-CILAG FARMACÊUTICA LTDA,51780468000187,7257332023,2023-07-27T13:16:27.000-0300,253510090960041,eyJhbGciOiJIUzUxMiJ9.eyJqdGkiOiIyMDUyNDQ1MiIsIm5iZiI6MTcwNDU5MTM5NiwiZXhwIjoxNzA0NTkxNjk2fQ.92bDGHBpMXR07mXFBCx03M9g6qt6SsDiMQos8BxY5neQCPIZ3pf5IZ9K3X5fCyynxMQIO9fuQ_Okqcv7Yv0A7w,eyJhbGciOiJIUzUxMiJ9.eyJqdGkiOiIyMDUyNDQ1MyIsIm5iZiI6MTcwNDU5MTM5NiwiZXhwIjoxNzA0NTkxNjk2fQ.wO6YiXiU0kPh6tOcrsaPeCSf-j0a1pKvGOsT6VvXutvR_7OW9Qhdobo32EVPRuAWX8YOHUSHL2dDs5hgbqn_QQ,2024-01-06T18:00:08.000-0300,112363356
2961.0,101180130,DONAREN,0342445235,APSEN FARMACEUTICA S/A,62462015000129,3131442023,2023-04-05T09:59:49.000-0300,250000414339699,eyJhbGciOiJIUzUxMiJ9.eyJqdGkiOiIxOTQwMzM4NyIsIm5iZiI6MTcwNDU5MTM5MSwiZXhwIjoxNzA0NTkxNjkxfQ.8lI08cjuEuDRTKA4mGysyoX-r06JHzYVHAus4OXRXivGPeodgofbZB9XjJ_543CXyxIKIFvPfChszvUmT_YklA,eyJhbGciOiJIUzUxMiJ9.eyJqdGkiOiIxOTQwMzM4OCIsIm5iZiI6MTcwNDU5MTM5MSwiZXhwIjoxNzA0NTkxNjkxfQ.z9_yA0XRAHDcw5_e4GGfRRGiba1YtQi50GxhNIxH6wSsFp5Jv-gzJ_tqrjetJpdAWVAzBW4r990vtjqr-zk4hA,2024-01-06T18:00:08.000-0300,101180130
